,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,Instructor
A,,,,,,,,,,,,1,,,,,,1,,,
B,,,,,,,,1,,,,1,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,
E,,,,,,1,1,,,,,,,,,,,,,,
F,,,,,1,,1,,,,,1,,,2,,,1,,,
G,,1,,,,,,,,2,,,,,,,,,1,1,
H,,1,,,,,,,1,1,,,,,,,,,,,
I,,,,,,1,,,,1,,,,,,,,,,,
J,,,,,,1,1,,,,,1,,,,,,,,,
K,,,,,1,,,,1,,,,,,,,,,,,
L,,,,,,1,,,,1,,,,,,,,,,,
M,,,,1,,,1,,,,,,,,1,,,,,1,
N,,,,,,,,,,1,,,,,,,,1,,,
O,,,,,,1,,,,,,,,,,,,1,,,
P,,,,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,1,,,,,,,,,
R,,,,1,,1,,,,1,1,1,,,1,,,,,,1
S,,,,,,,,1,,,,,,,1,,,,,,
T,,1,,,,,,,,,,1,1,,,,,1,,,
Instructor,,,,,,,,,,,,,,,,,,,,,
