,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,Instructor
A,,,,,,,,,,,,,,,,,,1,,,
B,1,,2,,,,,,,,,,1,,,,,,,1,1
C,,,,,,,,,,,,,,,,,,1,,,1
D,,,,,,1,,,,,,,,,,,,1,,,
E,1,,,,,1,2,2,,1,,,,1,,1,,,1,,
F,,,,,1,,1,,,,,,,,,,,,2,,
G,,,,,1,,,,,,,,,,,,,1,2,,
H,1,,,,,,,,,1,,,,1,1,,,,,,
I,,,,,,,,,,,,,,,,1,1,,,,
J,,,,,1,,,,,,,1,,,,,,,,,
K,,,,1,,,,,,,,1,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,1,1,
M,,,1,1,,1,,,,,,,,,,,,1,,,
N,1,,,,,,,,,,,,,,,,,,,1,
O,,,,,1,,2,1,,,,,,1,,,,,,,
P,,,,,,,,,,,,,,,,,,1,,,
Q,,,,,,,,,,1,,,,,,1,,,,,
R,,,1,,1,1,1,,,,,,1,,,,,,1,,
S,,,,,,,1,,,,,,,,,,,1,,,
T,,,,,,,,,,,,,,,,,,,,,
Instructor,,,,,,,,,,,,,,,,,,,,,
