,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,Instructor
A,,,,,,,,,,,,1,,,,,,,,,
B,,,,,,,,1,1,1,,,,,1,,,,2,,
C,,1,,,1,,,,,,,,,1,1,,,,,,
D,1,,,,,,,,,,,,,,,,,,,,
E,,,1,,,,,,,,,,,,,,,2,,,
F,,1,,,1,,,,,,,,1,,1,,,,,,
G,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,1,,,,,,1,
N,,,1,,,,,,,,,1,,,,,,,,,
O,,,,,,,,,,,,,,,,,,1,,,
P,,,,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,,,
R,,,,,1,,,1,,1,,,,1,1,1,,,1,1,
S,,,,,,,,,,,,,,,,,,,,,
T,,,,,,,,,,,,,,1,,,,,,,
Instructor,,,,,,,,,,,,,,,,,,,,,
