,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,Instructor
A,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
B,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,
C,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
E,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,
F,0,1,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,1
G,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
H,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
I,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,
J,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
L,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
M,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R,1,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Instructor,2,1,1,0,,,1,,,,,1,2,,1,,,2,1,1,0
